municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%
Westborough,2935,94.3,55.2,3218,2.4,87557,118911,4.9,6.8,1843,93.8,44.8,2.9,16.0,6.6,5.7,5.0,19.0,0.0,0.0,55.3,44.7,3957,96.8,41.5,91.9,1.3,1.7,5.8,0.0,0.5,5.9
Orleans,1580,97.8,40.4,1636,4.8,54750,71199,8.4,10.4,1507,59.9,54.8,7.2,6.2,9.6,4.8,4.2,13.1,0.0,0.0,72.4,27.6,1798,77.5,61.9,86.4,11.5,0.0,0.0,2.1,2.1,3.5
Deerfield,311,98.4,74.6,539,8.1,-666666666,90963,0.0,38.9,155,100.0,74.2,0.0,16.8,9.0,0.0,0.0,0.0,0.0,0.0,58.1,41.9,621,121.0,40.0,76.3,28.8,0.0,9.0,0.0,1.3,9.5
Norwood,21580,94.7,47.4,24183,3.0,90133,108643,6.5,8.1,12602,95.0,47.3,7.3,9.6,10.8,5.6,11.7,7.6,0.2,0.0,57.5,42.5,29306,89.1,40.8,85.7,8.0,0.6,5.8,0.1,1.5,6.8
Barre,820,97.6,34.5,918,3.8,50268,67892,0.0,2.7,555,92.6,65.6,0.0,19.1,1.8,13.5,0.0,0.0,0.0,0.0,74.5,25.5,986,98.8,55.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Arlington,33360,96.6,70.9,36696,3.3,108389,138350,3.1,5.2,20207,94.3,38.4,5.6,25.0,7.2,3.0,4.8,15.9,0.1,0.0,58.0,42.0,45304,86.6,40.7,83.3,4.0,0.5,14.9,0.0,1.2,4.9
Wakefield,20100,94.5,51.2,22420,3.1,100278,129924,2.1,4.2,11137,96.3,58.8,4.5,13.2,7.2,3.5,2.1,10.6,0.0,0.1,74.5,25.5,26993,91.0,43.9,94.7,2.2,0.1,3.2,0.1,1.2,3.5
Wellesley,15964,97.9,83.8,22365,4.6,197132,287793,3.1,4.4,8926,94.7,81.1,3.5,2.1,3.7,1.4,0.9,7.3,0.1,0.0,80.9,19.1,28747,76.3,35.6,83.3,3.6,0.4,14.8,0.3,1.2,5.1
Dedham,18618,95.2,53.3,20987,3.7,100757,131790,2.4,4.5,10577,94.9,65.1,4.1,8.0,4.9,2.6,1.5,13.3,0.4,0.0,72.1,27.9,25283,86.8,42.9,86.6,8.5,0.4,3.7,0.1,3.3,8.7
Quincy,73038,88.2,45.1,82087,5.1,77562,94360,8.0,11.3,43736,94.2,33.0,4.8,12.8,11.2,5.5,5.0,27.5,0.1,0.1,46.2,53.8,94207,94.5,39.7,62.7,5.8,0.4,31.4,0.3,1.4,3.1
Barnstable,33500,93.7,38.6,37686,4.4,72733,100447,5.7,7.9,26395,71.2,81.9,2.8,2.5,4.8,3.7,1.4,2.8,0.0,0.0,75.0,25.0,44406,94.9,48.3,91.4,6.7,0.8,1.2,0.2,1.6,5.9
Melrose,20322,95.9,61.6,23268,2.8,106955,135189,1.8,4.1,11787,96.1,57.2,3.2,9.8,2.8,3.6,4.8,18.2,0.0,0.4,65.8,34.2,28113,85.7,41.3,90.6,4.3,0.1,6.9,0.0,0.5,3.2
North Adams,8751,84.0,23.0,10949,5.5,41471,58175,14.2,19.4,6588,84.5,44.7,1.4,14.0,17.2,10.5,0.8,7.3,4.1,0.0,57.4,42.6,12959,99.7,42.4,93.9,4.9,2.0,1.1,0.2,3.3,6.6
Longmeadow,10953,95.3,65.1,12489,2.7,122035,162044,0.9,2.2,5748,97.6,91.5,0.7,0.9,0.8,0.3,1.9,3.7,0.2,0.0,90.1,9.9,15791,90.4,45.0,92.3,1.1,0.4,7.5,0.4,1.1,6.8
Huntington,492,84.8,11.6,567,3.4,52500,56334,6.0,9.0,361,90.3,60.7,1.7,7.2,11.1,9.1,1.9,0.0,8.3,0.0,63.2,36.8,634,98.1,40.9,97.5,0.0,2.8,0.0,0.0,2.1,2.1
Dennis,2083,93.2,51.0,2200,5.5,90795,113673,2.6,2.5,2638,44.2,85.5,5.0,3.8,3.6,0.6,0.0,1.4,0.0,0.0,83.6,16.4,2307,93.9,65.9,97.2,0.0,2.2,0.8,0.0,2.0,0.3
Athol,5918,87.9,17.0,6989,10.0,49653,62635,12.0,17.3,3870,86.7,61.0,3.0,12.3,9.0,6.0,4.7,3.7,0.2,0.0,63.4,36.6,8617,82.8,39.3,93.5,3.6,0.5,1.2,0.0,4.8,6.5
Clinton,4957,86.7,25.6,5904,4.4,53972,70416,7.5,11.0,3267,88.6,32.8,6.1,18.2,22.3,9.5,3.1,7.3,0.9,0.0,44.8,55.2,7154,102.8,36.2,88.0,5.7,0.0,0.3,0.0,6.8,22.9
Attleboro,32405,90.8,31.6,36277,4.8,74962,95097,6.3,8.6,19084,92.4,56.5,5.9,8.8,10.2,5.1,4.2,5.6,3.5,0.2,69.0,31.0,44789,95.8,41.5,89.6,5.2,0.4,4.5,0.2,1.8,6.6
Northampton,19416,93.8,60.1,24708,3.7,66522,93153,7.0,13.7,12065,93.6,46.7,6.0,11.0,11.2,10.6,5.6,8.9,0.0,0.0,55.5,44.5,28516,72.3,40.0,92.3,3.5,1.1,5.3,0.3,2.2,8.7
Newton,58219,97.4,79.2,72238,2.8,151068,207563,2.5,4.3,32551,94.2,56.8,7.8,16.2,4.4,2.2,2.9,9.5,0.1,0.0,72.0,28.0,88593,86.9,41.0,79.9,4.0,0.3,17.1,0.1,2.3,4.9
Randolph,23956,86.0,28.1,28213,6.5,82510,96069,7.6,8.6,12381,95.6,60.2,10.8,3.2,2.5,3.4,6.2,13.6,0.0,0.0,67.9,32.1,34064,92.8,40.7,34.7,47.5,0.7,13.2,0.0,7.1,8.8
Reading,17828,97.5,64.4,19792,3.1,132731,147262,2.0,2.8,9419,97.6,73.5,3.4,3.6,2.9,2.4,4.1,10.1,0.0,0.0,84.1,15.9,25132,97.4,43.2,94.0,0.6,0.1,4.9,0.2,1.5,3.0
Braintree,26343,93.8,43.4,29678,3.5,96522,117154,3.9,4.6,14607,96.0,61.2,4.6,5.5,5.2,5.8,6.7,11.0,0.0,0.0,73.0,27.0,37220,93.7,41.5,82.2,3.5,0.8,14.5,0.0,0.9,2.1
Chester,563,90.4,15.6,628,2.6,65250,71762,9.3,13.2,308,95.8,77.9,1.0,11.0,5.2,0.0,4.9,0.0,0.0,0.0,69.2,30.8,787,86.9,43.6,99.5,1.3,0.0,0.0,0.0,0.0,0.5
Abington,11793,94.7,39.1,13727,4.3,99381,105390,2.5,4.1,6781,94.3,58.9,6.0,5.0,11.7,6.1,8.0,4.3,0.0,0.0,73.3,26.7,16436,97.7,42.2,93.2,3.0,0.3,4.9,0.0,1.4,2.6
Methuen,34750,88.3,28.1,41418,6.0,77484,96043,6.8,9.2,18700,95.8,60.6,6.9,9.0,7.5,2.9,5.8,6.9,0.3,0.0,71.8,28.2,50282,92.6,40.7,78.1,6.8,0.9,4.6,0.0,13.4,29.5
Walpole,4322,93.2,46.9,4760,2.9,94375,117674,2.0,4.2,2666,96.8,52.8,17.0,6.9,2.9,12.0,7.4,1.1,0.0,0.0,72.5,27.5,6197,102.4,41.2,85.7,1.5,0.7,5.4,0.0,7.3,10.5
Agawam,21598,93.3,33.2,23942,3.5,68944,87473,4.3,7.9,12253,96.5,64.9,5.1,5.0,4.2,8.2,4.6,7.7,0.3,0.0,75.8,24.2,28696,95.3,46.4,95.6,2.8,0.7,2.8,0.0,0.4,5.4
Avon,3389,92.0,26.9,3703,4.8,85200,93196,6.6,9.8,1787,88.1,73.0,6.4,8.4,5.1,3.0,2.1,0.5,0.8,0.6,73.9,26.1,4500,90.8,40.0,75.6,18.7,0.5,3.9,0.0,3.4,4.2
Boxborough,3876,95.9,66.2,4535,4.6,115395,143993,4.6,4.5,2371,95.6,52.4,6.2,1.3,2.7,9.9,16.3,11.3,0.0,0.0,68.8,31.2,5561,102.1,43.2,79.6,1.3,1.3,19.2,0.0,1.7,5.1
Manchester,3842,98.3,70.8,4314,3.4,148854,193406,1.9,3.3,2294,90.5,69.4,1.6,8.0,10.1,9.0,0.8,1.2,0.0,0.0,76.2,23.8,5383,100.9,48.9,99.3,0.0,0.0,1.4,0.0,0.0,1.5
Cohasset,5572,98.6,70.8,6245,2.6,145679,224019,2.8,4.6,3505,88.1,80.7,4.3,1.8,4.5,5.8,1.7,1.4,0.0,0.0,77.5,22.5,8484,89.7,44.0,97.5,1.5,0.1,1.2,0.2,0.4,1.4
Billerica,23370,93.6,37.2,27290,4.2,106141,117150,2.1,3.5,11877,97.3,75.1,3.2,3.5,1.2,1.6,3.5,11.9,0.0,0.0,79.0,21.0,32797,98.0,41.1,86.5,4.4,0.6,9.1,0.2,1.6,3.6
Dracut,21816,91.3,31.1,25428,4.1,90000,102200,4.3,6.5,11810,97.1,67.4,5.2,4.4,3.8,6.8,4.7,7.7,0.0,0.0,78.7,21.3,31294,97.4,40.0,89.8,5.4,0.2,4.7,0.2,1.7,6.6
Merrimac,4875,94.3,43.7,5737,2.7,84609,111519,1.0,3.4,2784,97.3,66.9,6.3,8.9,5.0,1.7,1.5,0.3,9.4,0.0,87.1,12.9,6890,98.4,47.7,97.4,0.2,0.0,1.7,0.0,1.3,2.4
Worthington,968,94.2,36.0,1097,1.2,80192,91776,3.4,6.2,671,87.0,92.8,0.0,1.2,4.2,0.0,0.0,1.2,0.6,0.0,87.7,12.3,1263,87.4,51.6,99.1,0.3,0.2,0.0,0.0,1.0,0.8
Granville,1627,95.0,32.4,1826,5.4,87750,96521,4.8,8.8,1242,68.8,98.2,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,92.6,7.4,2186,97.1,46.6,99.4,0.5,0.9,0.3,0.1,0.5,2.3
Freetown,3662,89.7,30.4,3966,6.9,85139,110427,2.2,3.9,1929,90.0,91.0,2.7,4.1,1.4,0.0,0.0,0.3,0.4,0.0,89.4,10.6,4917,96.8,45.3,97.0,2.2,3.4,0.9,0.0,2.1,2.1
Oak Bluffs,3359,96.0,42.2,3640,2.5,75294,87642,5.4,9.8,4571,38.3,84.2,2.5,5.6,1.2,2.8,1.8,1.4,0.6,0.0,74.2,25.8,4665,95.2,40.8,92.6,7.6,0.0,0.0,0.0,3.2,2.1
Westport,11857,88.4,35.2,13555,3.5,80430,99546,4.5,5.6,7233,88.3,85.3,3.6,5.6,0.8,2.2,0.0,1.7,0.6,0.2,83.2,16.8,15793,99.3,48.5,99.2,0.4,0.4,0.5,0.1,0.5,1.7
Norwell,7369,97.4,65.4,8464,3.4,157987,183481,1.5,3.0,3869,94.8,93.0,0.7,0.3,1.7,0.2,1.9,1.2,1.0,0.0,93.5,6.5,11054,94.8,42.2,96.9,0.3,0.1,2.5,0.3,0.9,2.3
Leverett,1480,95.0,65.1,1636,3.2,90978,129319,3.2,6.5,794,96.5,86.3,2.4,8.2,0.8,0.8,0.0,0.0,1.6,0.0,88.6,11.4,2001,101.7,47.5,96.9,0.3,0.6,3.1,0.0,0.4,1.2
Whitman,10171,94.1,29.0,12194,3.7,86570,98929,3.5,6.2,5686,96.1,60.5,5.5,12.2,9.1,2.7,0.7,9.0,0.3,0.0,70.5,29.5,15056,98.0,38.0,95.1,3.5,0.4,0.9,0.0,2.7,2.5
Carlisle,3699,98.7,82.2,4179,4.3,195889,251401,1.6,3.4,2029,92.5,92.1,3.4,0.6,0.5,0.6,0.0,2.9,0.0,0.0,94.6,5.4,5224,112.0,50.7,87.7,0.2,0.3,13.0,0.0,1.1,0.8
Warwick,616,92.0,32.1,674,2.0,59375,70168,2.8,7.0,482,71.6,91.1,0.4,0.0,4.8,1.0,0.0,0.0,2.7,0.0,93.3,6.7,792,100.5,54.8,98.7,0.3,1.4,1.3,0.0,0.5,2.0
Dudley,7317,93.7,32.0,9672,6.2,69071,91824,2.2,5.6,4173,93.6,67.2,2.9,7.5,11.8,7.5,1.6,1.5,0.0,0.0,67.8,32.2,11723,93.9,38.4,93.1,2.4,0.5,5.0,0.2,1.2,3.6
Westminster,5620,95.7,40.4,6237,4.6,100972,118373,1.0,2.6,3080,93.2,91.4,1.8,0.7,3.8,0.6,1.8,0.0,0.0,0.0,90.9,9.1,7766,100.6,44.3,99.8,0.0,0.0,0.5,0.0,0.0,3.3
East Longmeadow,11436,93.9,42.6,13136,3.6,87748,109318,3.1,4.7,6251,95.3,87.1,0.8,2.0,1.5,2.1,1.5,5.1,0.0,0.0,82.6,17.4,16242,84.8,45.5,90.3,5.4,0.8,4.8,0.0,0.4,3.9
Monson,6490,93.0,27.1,7432,5.0,83008,96929,4.7,6.2,3724,94.7,81.1,1.6,5.8,4.3,3.0,0.9,0.3,3.1,0.0,82.4,17.6,8824,97.7,47.3,97.7,1.3,0.9,0.9,0.0,0.4,1.3
Dunstable,2297,97.4,54.8,2775,3.6,135909,161649,1.3,2.9,1192,98.8,99.1,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,94.8,5.2,3366,99.3,45.2,95.8,0.4,0.9,4.0,0.0,0.1,2.0
Heath,342,95.0,29.8,407,1.6,69375,82261,0.0,3.2,355,51.5,79.2,0.0,0.3,0.0,0.0,0.0,0.0,20.6,0.0,97.8,2.2,471,74.4,53.0,99.8,0.0,1.3,0.0,0.0,0.0,0.4
Windsor,615,97.6,40.8,692,3.8,85417,109999,3.9,6.3,489,70.1,96.7,0.6,2.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,796,102.0,51.3,98.5,2.6,2.6,1.5,0.0,0.0,1.1
Douglas,6013,96.9,39.5,7139,3.7,99943,117784,2.2,3.5,3452,93.7,79.5,2.8,4.1,1.9,3.6,3.0,3.4,1.9,0.0,80.8,19.2,8859,107.9,44.1,97.7,0.5,0.6,2.1,0.0,0.3,5.7
Concord,13592,95.8,74.2,14994,2.8,152240,205520,1.1,3.6,7104,93.4,66.5,6.4,2.5,4.6,5.8,1.4,12.8,0.0,0.0,75.0,25.0,19121,105.2,45.8,85.3,4.8,0.8,8.6,0.0,3.3,7.2
Dighton,2707,96.4,31.5,3094,2.8,101216,114864,0.0,0.5,1529,93.7,79.7,0.0,15.7,2.3,0.0,0.0,0.0,2.3,0.0,89.9,10.1,3893,85.1,41.6,95.6,2.9,0.0,0.0,1.3,1.8,0.2
New Salem,712,96.3,44.4,784,4.9,65875,84928,2.1,5.4,448,88.8,98.4,0.0,0.7,0.0,0.0,0.0,0.0,0.9,0.0,87.2,12.8,931,117.5,53.9,96.5,0.5,4.9,0.9,0.0,1.9,0.4
Sudbury,12565,98.9,80.5,14526,3.6,191310,235764,1.3,2.5,6494,98.3,87.9,5.7,0.8,1.6,0.6,0.7,2.6,0.0,0.0,91.6,8.4,19122,102.4,44.2,87.9,2.8,0.1,12.4,0.2,0.2,2.5
Holliston,10045,97.7,66.2,11532,3.9,135340,166861,0.8,2.1,5376,98.0,83.7,3.9,2.4,3.4,0.9,1.3,4.3,0.0,0.0,91.4,8.6,14724,92.7,42.2,92.2,2.3,0.3,6.8,0.0,0.6,3.9
Paxton,3139,96.1,56.3,4088,0.9,120469,137122,1.6,3.0,1589,94.3,93.5,2.2,2.6,0.0,0.0,0.0,1.6,0.0,0.0,95.4,4.6,4900,106.0,37.5,89.0,8.6,0.5,2.1,0.2,0.7,4.0
Chesterfield,478,91.2,27.6,500,3.6,67321,78846,2.6,7.4,353,77.1,89.0,3.1,4.5,0.0,0.8,1.1,0.0,1.4,0.0,87.9,12.1,585,101.0,54.1,97.8,0.7,0.7,0.0,1.5,0.0,1.7
Mansfield,16564,96.2,54.8,19147,5.2,120613,144648,1.7,3.2,9012,96.0,63.6,3.8,6.7,3.6,4.5,7.8,9.9,0.1,0.0,72.5,27.5,23947,98.9,39.3,90.9,2.6,0.4,6.9,0.1,0.4,4.1
Fairhaven,11690,89.5,25.5,13399,5.2,67394,85015,4.6,7.5,7181,89.0,72.4,3.9,10.4,5.2,1.9,0.7,5.4,0.0,0.0,75.6,24.4,16045,93.2,46.4,92.0,0.7,0.7,3.8,0.1,3.7,2.0
Natick,25398,97.1,68.7,28133,3.0,115446,149874,1.7,2.9,15162,95.2,57.9,4.2,7.3,3.4,7.6,7.8,11.3,0.4,0.0,68.9,31.1,35761,97.3,41.1,83.0,2.3,0.1,14.7,0.1,1.8,4.0
Southwick,7172,92.4,35.8,8039,4.2,73776,97222,6.6,7.7,4059,93.7,80.4,6.2,3.7,2.0,0.8,4.4,2.5,0.0,0.0,81.3,18.7,9720,101.9,47.3,97.2,1.2,0.7,1.8,0.0,0.6,3.5
Grafton,4940,95.4,52.6,5784,3.4,109670,135447,1.8,4.4,2526,99.1,69.8,9.5,1.9,4.1,8.1,3.3,3.3,0.0,0.0,79.4,20.6,7042,93.7,41.7,86.5,5.3,0.8,7.7,0.0,3.4,4.7
Wellfleet,2648,94.5,52.8,3096,3.0,75096,92526,1.1,10.1,4347,35.3,92.8,0.9,1.2,1.5,0.3,0.0,0.3,3.0,0.0,84.9,15.1,3515,76.6,56.2,93.6,4.5,0.6,3.8,0.0,1.0,1.3
Royalston,1100,94.0,19.7,1167,2.8,76250,83290,3.3,7.8,680,85.4,89.3,0.4,6.5,0.0,0.7,0.0,0.0,3.1,0.0,81.9,18.1,1377,108.6,50.7,99.3,0.0,0.0,1.1,0.0,0.0,0.0
Cummington,682,97.5,39.3,761,3.0,58438,67642,4.1,9.7,525,85.3,87.2,0.0,4.0,5.5,2.5,0.0,0.0,0.8,0.0,78.1,21.9,933,89.2,50.1,99.5,0.0,0.3,1.4,0.0,0.0,1.5
Sutton,6641,96.7,41.1,7637,1.9,104710,130705,3.5,2.8,3584,95.3,87.1,5.6,2.3,2.5,1.6,0.9,0.0,0.0,0.0,90.1,9.9,9404,108.1,44.1,95.3,2.6,0.6,2.5,0.2,0.2,1.3
Plainville,6527,97.7,43.6,7448,5.8,96066,111207,3.0,4.5,3878,94.5,49.3,9.8,7.1,3.1,7.4,7.9,3.7,11.7,0.0,71.2,28.8,9183,95.7,42.0,89.6,4.8,0.3,4.6,0.0,1.4,4.5
West Boylston,6036,88.2,33.6,6656,3.1,90688,113380,5.3,9.3,2459,93.5,71.9,10.9,6.8,3.8,2.6,2.7,1.0,0.0,0.3,83.0,17.0,7693,142.2,42.2,90.1,6.7,1.2,2.2,0.3,1.6,12.4
Holden,11042,97.5,58.8,12543,4.6,109529,130864,2.1,3.4,5928,97.6,85.5,4.3,1.2,1.7,1.4,4.0,1.7,0.0,0.1,89.2,10.8,15781,93.8,43.2,96.5,1.5,0.3,3.2,0.0,0.5,3.5
Lanesborough,1834,94.3,39.9,2004,8.1,67625,80318,2.6,8.1,1558,66.5,69.0,1.8,6.0,1.9,9.3,3.6,6.9,1.4,0.0,83.0,17.0,2488,102.6,51.2,97.3,2.3,0.3,0.2,0.0,0.7,0.8
Harwich,7123,96.2,44.4,7953,6.2,78689,87331,4.8,5.8,6457,61.2,92.8,2.0,1.7,0.7,1.7,0.3,0.7,0.1,0.0,83.2,16.8,9116,88.3,55.3,93.6,4.2,0.9,0.9,0.1,2.2,2.1
Ashby,2380,93.1,33.2,2670,3.7,97958,108790,2.7,4.7,1246,93.7,95.4,0.5,2.5,0.9,0.2,0.0,0.0,0.5,0.0,92.3,7.7,3220,108.5,45.9,98.4,1.6,0.7,0.7,0.0,0.3,2.5
Montague,1721,96.6,35.0,1855,1.7,81042,85700,3.2,7.5,1023,95.2,68.5,5.6,12.6,5.3,3.8,0.0,1.0,3.2,0.0,69.0,31.0,2114,87.1,48.3,96.8,2.0,1.2,0.7,0.0,0.0,0.3
Rochester,3631,93.8,48.4,4232,5.1,103459,132136,2.2,3.4,1918,98.4,93.8,2.8,0.7,1.1,0.0,0.4,0.0,1.2,0.0,93.0,7.0,5407,119.4,44.5,97.5,0.6,0.0,0.9,0.0,1.2,0.6
Tewksbury,22551,95.3,38.6,25712,3.6,102934,117548,2.9,5.1,12025,97.2,70.3,10.5,1.1,1.9,2.9,4.9,8.4,0.0,0.0,85.2,14.8,30878,91.2,44.6,93.4,3.1,0.4,4.2,0.0,0.6,2.2
Shrewsbury,25669,95.1,58.6,29574,3.8,105014,130786,2.9,3.9,14664,92.3,65.7,5.8,4.1,2.0,3.4,8.3,10.0,0.7,0.0,73.6,26.4,37086,96.2,41.9,76.3,4.4,0.4,20.5,0.1,1.8,4.6
Rockland,12698,94.8,33.7,14415,3.3,78011,95148,7.3,8.3,7474,93.1,51.1,12.1,6.7,4.9,6.7,2.9,8.3,7.4,0.0,75.0,25.0,17953,91.7,40.1,95.0,3.7,0.5,1.1,0.0,1.6,3.1
Colrain,1328,94.3,33.3,1505,4.1,62500,78745,6.5,11.5,1026,73.7,82.1,1.2,3.9,1.3,0.0,0.0,0.0,11.6,0.0,83.1,16.9,1779,96.8,52.8,99.6,0.9,0.2,0.4,0.0,0.0,1.6
Bedford,9613,96.8,71.8,10923,5.5,128354,165083,2.0,2.9,5508,96.4,63.1,11.5,4.1,2.4,3.0,4.6,11.2,0.0,0.0,73.9,26.1,14070,91.4,42.4,80.6,4.4,0.8,17.4,0.0,0.6,3.9
Charlemont,1053,93.4,36.3,1177,5.0,64813,85230,5.3,10.3,717,76.3,83.8,3.2,4.0,6.8,0.0,0.0,0.0,2.1,0.0,85.7,14.3,1371,88.8,52.2,96.8,1.2,0.9,3.1,0.0,0.7,1.2
Harvard,3318,97.4,77.6,3663,5.4,162619,204829,1.5,2.3,1669,97.3,90.0,3.2,2.1,1.6,0.0,0.0,3.1,0.0,0.0,94.5,5.5,4731,105.9,46.4,94.0,0.0,0.3,5.1,0.0,1.2,2.8
Wendell,665,95.8,47.1,697,6.0,53750,73269,11.7,12.1,422,87.7,88.6,1.9,4.3,0.7,0.0,0.0,0.0,4.5,0.0,80.3,19.7,829,102.7,50.3,95.2,5.4,0.7,4.3,0.0,0.4,1.3
Lincoln,3690,98.9,80.2,4065,4.0,140125,209819,7.5,6.3,2266,95.7,65.1,10.5,0.4,8.3,4.2,0.6,11.0,0.0,0.0,74.8,25.2,4884,91.1,54.6,95.2,0.4,0.0,6.4,0.0,0.3,6.3
Otis,689,94.9,37.9,710,5.3,85417,103559,1.2,4.2,609,66.7,94.9,1.0,1.1,0.8,0.0,0.0,0.0,2.1,0.0,92.4,7.6,769,97.7,59.7,99.3,0.8,1.3,0.0,0.0,0.0,1.8
South Hadley,11682,94.7,42.6,15553,4.8,69346,91161,6.5,9.6,6841,96.7,61.2,6.0,8.4,9.9,5.9,2.2,6.3,0.1,0.0,72.7,27.3,17703,64.2,39.1,92.7,3.4,1.1,5.6,0.0,1.5,6.4
Goshen,402,99.3,49.8,433,2.0,68750,80215,0.7,7.9,414,56.5,88.9,0.0,5.8,0.7,3.6,0.0,0.0,1.0,0.0,90.6,9.4,495,70.1,54.6,99.4,0.0,0.0,0.0,0.0,0.6,6.1
Littleton,7140,97.5,56.0,8091,4.5,123413,149990,3.3,4.8,3836,95.3,85.6,1.8,0.7,1.6,1.1,0.5,3.9,4.6,0.0,88.3,11.7,10071,96.7,44.7,92.4,1.6,0.7,7.5,0.0,0.7,1.3
Wenham,2703,98.7,67.6,4516,2.2,128056,186444,0.4,2.1,1454,97.5,79.0,5.9,2.2,2.5,7.3,2.5,0.0,0.5,0.0,90.0,10.0,5240,76.1,28.3,93.4,3.0,0.0,3.9,0.1,0.7,5.4
Middleton,7066,91.4,39.3,8126,5.1,125204,166633,2.3,2.8,3153,95.1,65.4,17.8,1.0,1.6,3.3,0.0,10.0,0.8,0.0,88.4,11.6,9872,114.5,42.9,96.0,3.8,1.0,1.6,0.2,1.0,6.2
Wayland,9497,98.1,80.9,10851,1.4,185906,236931,2.3,2.9,5204,93.2,82.2,8.5,2.4,1.1,0.2,1.4,3.0,1.2,0.0,91.5,8.5,14088,99.8,44.0,87.3,1.5,0.1,13.7,0.2,0.5,5.0
Millis,5910,97.3,52.4,6582,2.2,106164,120195,0.5,1.5,3344,94.5,68.2,7.6,4.2,4.5,3.0,6.8,5.9,0.0,0.0,82.3,17.7,8233,94.2,45.4,93.7,2.3,0.0,1.8,0.0,2.5,2.3
Shutesbury,1102,97.7,67.2,1256,8.0,80625,90395,4.9,8.8,778,81.0,92.9,2.1,2.7,1.3,0.5,0.0,0.5,0.0,0.0,90.3,9.7,1478,87.1,47.3,96.5,1.6,3.4,3.7,0.1,2.0,3.9
Tyngsborough,8751,96.0,48.5,10346,4.3,113489,134415,3.4,4.7,4592,96.7,72.7,11.0,3.4,1.8,2.8,0.8,7.5,0.0,0.0,82.8,17.2,12443,98.8,42.7,90.2,0.9,0.1,10.7,0.0,0.6,4.5
Monterey,675,93.8,55.1,736,1.7,80417,127090,0.0,5.1,880,45.1,94.9,0.7,1.9,0.6,1.9,0.0,0.0,0.0,0.0,86.4,13.6,836,92.6,56.8,98.0,0.4,0.2,0.4,0.0,1.3,0.8
North Andover,20149,95.9,59.7,24462,3.8,108070,149342,3.7,5.6,11756,94.5,53.0,10.6,6.3,5.3,5.4,8.7,10.5,0.2,0.0,71.4,28.6,30842,92.5,38.9,88.1,4.6,0.3,7.1,0.0,2.2,7.6
Wrentham,8187,97.3,51.4,9418,4.5,126613,149015,1.3,3.8,4347,98.0,81.1,5.7,2.9,3.6,2.6,2.4,1.7,0.0,0.0,84.9,15.1,11823,106.3,43.4,95.8,3.2,0.1,1.0,0.0,0.2,2.9
Sterling,5769,97.5,52.8,6621,3.3,121458,154804,1.1,2.8,2920,95.1,87.8,5.9,2.9,1.8,1.1,0.0,0.4,0.0,0.0,90.5,9.5,8091,91.2,46.8,97.7,1.7,0.0,0.6,0.0,1.1,5.1
Williamsburg,1852,95.2,40.3,2110,2.3,82574,96934,4.3,7.8,1212,87.5,80.4,2.6,9.2,6.2,0.0,1.2,0.5,0.0,0.0,79.1,20.9,2443,103.8,47.8,100.0,0.0,0.0,0.0,0.0,0.0,1.1
Medway,8985,95.7,59.0,10670,2.7,132823,156809,3.9,4.8,4946,95.7,81.6,3.3,4.5,3.5,3.5,0.2,3.5,0.0,0.0,89.9,10.1,13325,86.9,41.6,94.5,3.5,0.8,2.9,0.0,2.0,2.6
Buckland,108,95.4,36.1,108,8.7,60347,57239,23.5,15.0,79,77.2,83.5,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,113,130.6,60.4,100.0,15.0,15.0,15.0,0.0,0.0,0.0
Rowe,413,93.0,33.2,472,0.7,63750,74743,9.1,17.7,330,71.8,93.3,0.6,0.0,2.1,0.0,0.0,0.3,3.6,0.0,92.4,7.6,639,86.8,39.2,98.6,1.4,3.6,0.0,0.0,0.9,3.9
Pembroke,12856,96.4,38.8,15081,4.1,103905,120766,2.4,3.5,6799,96.5,80.9,5.5,3.8,0.6,3.4,2.2,3.1,0.5,0.0,84.8,15.2,18380,95.8,43.8,97.1,1.5,0.8,1.8,0.0,1.2,1.5
Mashpee,10916,97.6,41.4,12243,3.7,77019,97509,2.3,4.2,10273,61.9,75.3,11.7,0.7,3.9,4.7,1.3,1.0,1.3,0.0,86.6,13.4,14148,86.0,52.7,88.1,4.8,5.7,2.8,0.2,1.3,0.6
Becket,1963,95.3,31.9,2088,5.0,75250,93418,3.3,6.4,2086,51.2,97.4,0.8,0.4,0.2,0.0,0.0,0.0,1.3,0.0,92.4,7.6,2443,105.1,52.2,95.9,3.8,1.2,0.3,0.0,1.9,3.3
